# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL4VADIM, SAL, ratio, DeltaPDFs
0.7, 0.0519664, 0.0672556, 0.77267, 0.0119478
0.8, 0.0462957, 0.0703262, 0.6583, 0.0145729
0.9, 0.0390885, 0.0698726, 0.559425, 0.0179034
0.0001, 0.0163903, 1.31477e-07, 124663, 0.359466
0.0002, 0.0138491, 9.70047e-08, 142767, 0.164724
0.0003, 0.0125189, 8.05307e-08, 155454, 0.104522
0.0004, 0.0116376, 7.03011e-08, 165539, 0.0757659
0.0005, 0.0109875, 6.31354e-08, 174031, 0.0590978
0.0006, 0.0104772, 5.77491e-08, 181426, 0.0482927
0.0007, 0.0100594, 5.35023e-08, 188017, 0.0407376
0.0008, 0.0097075, 5.00442e-08, 193979, 0.0351857
0.0009, 0.00940462, 4.71563e-08, 199435, 0.0309414
0.001, 0.00913944, 4.46968e-08, 204476, 0.0275955
0.002, 0.00752592, 3.12022e-08, 241199, 0.0132864
0.003, 0.00668316, 2.52288e-08, 264902, 0.00889574
0.004, 0.00612995, 2.17413e-08, 281949, 0.00680509
0.005, 0.00572735, 1.94319e-08, 294739, 0.00559153
0.006, 0.00541644, 1.7787e-08, 304516, 0.00480041
0.007, 0.00516671, 1.65566e-08, 312064, 0.00424228
0.008, 0.00496079, 1.56061e-08, 317875, 0.00382712
0.009, 0.00478756, 1.48533e-08, 322324, 0.00350512
0.01, 0.00463959, 1.42455e-08, 325687, 0.00324715
0.02, 0.00385964, 1.16827e-08, 330372, 0.00204493
0.03, 0.00359797, 1.12024e-08, 321178, 0.00158701
0.04, 0.00352432, 1.12339e-08, 313722, 0.00132396
0.05, 0.00354186, 1.14305e-08, 309859, 0.00114526
0.06, 0.00360956, 1.16862e-08, 308875, 0.00101232
0.07, 0.00370649, 1.19235e-08, 310856, 0.000907515
0.08, 0.00382118, 1.2226e-08, 312546, 0.000821746
0.09, 0.00394582, 1.23606e-08, 319226, 0.000749479
0.1, 0.00407802, 1.28837e-08, 316525, 0.000687435
0.2, 0.00545331, 1.50907e-08, 361368, 0.000330919
0.3, 0.00698704, 1.68861e-08, 413775, 0.000166016
0.4, 0.0091546, 2.10291e-08, 435331, 7.77393e-05
0.5, 0.0123654, 2.9135e-08, 424417, 3.16177e-05
0.6, 0.0167762, 4.39938e-08, 381330, 1.00895e-05
0.7, 0.0221049, 5.79496e-08, 381450, 2.00698e-06
0.8, 0.027101, 3.8224e-08, 709005, 1.26338e-07
0.9, 0.0272813, -9.03764e-08, -301864, 3.86916e-08
0.0001, -1.30104e-18, -4.01608e-31, 3.23959e+12, 2.80792e-17
0.0002, -2.19486e-18, -2.05366e-17, 0.106876, 1.42378e-17
0.0003, -1.69804e-18, -1.27411e-17, 0.133273, 1.98908e-17
0.0004, -2.16507e-18, -7.23561e-18, 0.299224, 5.23718e-18
0.0005, -2.17164e-18, -1.73951e-17, 0.124842, 3.3006e-18
0.0006, -5.77172e-19, -1.01457e-18, 0.568886, 5.52677e-18
0.0007, -1.60637e-18, -9.80296e-18, 0.163866, 4.79087e-18
0.0008, -2.40886e-18, -1.5709e-17, 0.153343, 4.40642e-18
0.0009, -1.56063e-18, -1.74524e-17, 0.089422, 5.56601e-18
0.001, -2.1684e-18, -3.34847e-31, 6.4758e+12, 2.13012e-18
0.002, -1.35464e-18, -1.55548e-17, 0.0870886, 2.29489e-18
0.003, -9.64882e-19, -5.1828e-18, 0.18617, 1.61621e-18
0.004, -1.49283e-18, -6.61897e-18, 0.225538, 2.05087e-18
0.005, -3.06846e-18, -5.23644e-18, 0.585982, 9.36397e-19
0.006, -1.38439e-18, 1.61568e-18, -0.856851, 9.89042e-19
0.007, -1.13956e-18, -1.00663e-17, 0.113206, 2.78169e-18
0.008, -3.09327e-18, -8.78819e-18, 0.35198, 1.37835e-18
0.009, -2.39395e-18, -8.70199e-18, 0.275104, 5.34595e-18
0.01, -5.20417e-18, -5.20417e-18, 1, 5.05406e-18
0.02, -8.32283e-19, -1.04634e-17, 0.0795421, 7.93107e-18
0.03, -4.08342e-18, -6.7515e-18, 0.604817, 7.4781e-18
0.04, -8.64341e-18, 3.94974e-18, -2.18835, 8.97371e-18
0.05, -9.19577e-21, -8.69124e-18, 0.00105805, 7.63102e-18
0.06, -9.75419e-18, 5.14407e-18, -1.8962, 5.11272e-18
0.07, -3.88691e-18, -9.72588e-18, 0.399646, 8.61315e-18
0.08, -1.20505e-18, -1.31462e-17, 0.0916649, 5.94479e-18
0.09, -4.94884e-18, -1.30125e-17, 0.380315, 8.76795e-18
0.1, -1.04083e-17, -5.20417e-18, 2, 6.37378e-18
0.2, -9.17981e-18, -1.72626e-17, 0.531776, 1.2934e-17
0.3, -1.3716e-17, -1.54913e-17, 0.8854, 6.53713e-18
0.4, -8.13913e-18, 1.35001e-18, -6.02892, 6.66953e-18
0.5, -1.53199e-17, -1.61134e-17, 0.950755, 3.12377e-18
0.6, -6.25064e-18, -2.10385e-17, 0.297105, 1.27524e-17
0.7, -5.68287e-18, -8.90364e-18, 0.638264, 1.00985e-17
0.8, 6.75361e-18, -1.60659e-17, -0.420369, 1.42185e-17
0.9, -9.44375e-18, -7.46595e-18, 1.26491, 5.85114e-18
0.0001, 0, 0, -nan, 0
0.0002, 0, 0, -nan, 0
0.0003, 0, 0, -nan, 0
0.0004, 0, 0, -nan, 0
0.0005, 0, 0, -nan, 0
0.0006, 0, 0, -nan, 0
0.0007, 0, 0, -nan, 0
0.0008, 0, 0, -nan, 0
0.0009, 0, 0, -nan, 0
0.001, 0, 0, -nan, 0
0.002, 0, 0, -nan, 0
0.003, 0, 0, -nan, 0
0.004, 0, 0, -nan, 0
0.005, 0, 0, -nan, 0
0.006, 0, 0, -nan, 0
0.007, 0, 0, -nan, 0
0.008, 0, 0, -nan, 0
0.009, 0, 0, -nan, 0
0.01, 0, 0, -nan, 0
0.02, 0, 0, -nan, 0
0.03, 0, 0, -nan, 0
0.04, 0, 0, -nan, 0
0.05, 0, 0, -nan, 0
0.06, 0, 0, -nan, 0
0.07, 0, 0, -nan, 0
0.08, 0, 0, -nan, 0
0.09, 0, 0, -nan, 0
0.1, 0, 0, -nan, 0
0.2, 0, 0, -nan, 0
0.3, 0, 0, -nan, 0
0.4, 0, 0, -nan, 0
0.5, 0, 0, -nan, 0
0.6, 0, 0, -nan, 0
0.7, 0, 0, -nan, 0
0.8, 0, 0, -nan, 0
0.9, 0, 0, -nan, 0
