# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio
0.0005, 0.0251469, 0.0660099, 0.380956
0.0006, 0.0256265, 0.0641625, 0.3994
0.0007, 0.0260871, 0.0626492, 0.4164
0.0008, 0.0265268, 0.0613753, 0.432207
0.0009, 0.0269462, 0.06028, 0.447017
0.001, 0.0273463, 0.0593227, 0.460976
0.002, 0.0305746, 0.0535831, 0.570601
0.003, 0.0329525, 0.0507147, 0.649763
0.004, 0.0348656, 0.0489328, 0.712519
0.005, 0.0364811, 0.0477167, 0.764535
0.006, 0.0378873, 0.0468442, 0.808794
0.007, 0.0391375, 0.0462001, 0.847131
0.008, 0.0402657, 0.0457187, 0.880727
0.009, 0.0412958, 0.045358, 0.910442
0.01, 0.0422448, 0.0450896, 0.936908
0.02, 0.0491125, 0.0448852, 1.09418
0.03, 0.0535692, 0.0463548, 1.15564
0.04, 0.0568612, 0.0482758, 1.17784
0.05, 0.0594405, 0.0503041, 1.18162
0.06, 0.0615287, 0.052303, 1.17639
0.07, 0.0632539, 0.0542093, 1.16685
0.08, 0.0646958, 0.0559935, 1.15542
0.09, 0.0659095, 0.0576418, 1.14343
0.1, 0.0669342, 0.0591493, 1.13161
0.2, 0.070915, 0.0674049, 1.05207
0.3, 0.0688403, 0.0678309, 1.01488
0.4, 0.0636329, 0.0657376, 0.967983
0.5, 0.0564628, 0.0642436, 0.878885
0.6, 0.0479849, 0.0647464, 0.741121
0.7, 0.038637, 0.0672556, 0.57448
0.8, 0.028756, 0.0703262, 0.408895
0.9, 0.0186273, 0.0698726, 0.266589
0.0001, 0.0115427, 1.29096e-07, 89411.7
0.0002, 0.00884955, 9.77822e-08, 90502.7
0.0003, 0.00757519, 8.25362e-08, 91780.3
0.0004, 0.00678346, 7.29189e-08, 93027.5
0.0005, 0.0062268, 6.60915e-08, 94214.9
0.0006, 0.00580627, 6.08996e-08, 95341.7
0.0007, 0.00547288, 5.67642e-08, 96414.2
0.0008, 0.00519984, 5.33657e-08, 97437.9
0.0009, 0.00497051, 5.05038e-08, 98418.5
0.001, 0.00477408, 4.80476e-08, 99361.4
0.002, 0.00366947, 3.4176e-08, 107370
0.003, 0.00315802, 2.77301e-08, 113884
0.004, 0.00284952, 2.38251e-08, 119602
0.005, 0.00264036, 2.11541e-08, 124815
0.006, 0.00248896, 1.91933e-08, 129679
0.007, 0.00237467, 1.76832e-08, 134290
0.008, 0.00228616, 1.64824e-08, 138703
0.009, 0.00221637, 1.55033e-08, 142961
0.01, 0.00216069, 1.46893e-08, 147093
0.02, 0.00197338, 1.0712e-08, 184221
0.03, 0.00203801, 9.40618e-09, 216668
0.04, 0.00218329, 8.89074e-09, 245569
0.05, 0.00236291, 8.70741e-09, 271368
0.06, 0.00255818, 8.6878e-09, 294457
0.07, 0.00275989, 8.74753e-09, 315505
0.08, 0.00296308, 8.85709e-09, 334544
0.09, 0.00316472, 8.98962e-09, 352041
0.1, 0.00336326, 9.03984e-09, 372048
0.2, 0.00506332, 1.04007e-08, 486827
0.3, 0.00633213, 1.10611e-08, 572467
0.4, 0.00750974, 1.06928e-08, 702318
0.5, 0.00899445, 9.28831e-09, 968362
0.6, 0.0111971, 6.39936e-09, 1.74972e+06
0.7, 0.0145134, 4.9647e-09, 2.92332e+06
0.8, 0.0193317, 1.17578e-08, 1.64416e+06
0.9, 0.0259707, 3.90806e-08, 664543
0.0001, -8.67362e-19, -2.77556e-17, 0.03125
0.0002, -8.78996e-19, -1.04358e-17, 0.0842289
0.0003, -2.33731e-18, -1.60103e-17, 0.145988
0.0004, -4.62158e-18, -2.03506e-17, 0.227099
0.0005, -2.496e-18, -3.54403e-18, 0.704281
0.0006, -5.9138e-18, -8.33082e-18, 0.70987
0.0007, -2.19002e-19, -1.06551e-17, 0.0205538
0.0008, -1.56829e-20, -6.93998e-18, 0.00225979
0.0009, -3.41837e-18, -9.01747e-18, 0.379083
0.001, -6.93889e-18, -1.21431e-17, 0.571429
0.002, -1.6659e-18, -1.33983e-17, 0.124336
0.003, -5.02589e-18, -1.48388e-17, 0.3387
0.004, -3.64559e-18, -1.78813e-18, 2.03877
0.005, -3.47975e-18, -1.6162e-18, 2.15304
0.006, -1.40906e-18, -1.78298e-18, 0.790283
0.007, -5.26016e-18, -1.03695e-17, 0.50727
0.008, -1.14777e-18, -5.31011e-18, 0.216148
0.009, -9.89773e-19, -4.90386e-18, 0.201835
0.01, -8.67362e-18, -3.46945e-18, 2.5
0.02, -5.61768e-18, -5.26468e-18, 1.06705
0.03, -1.88523e-17, -8.72362e-18, 2.16106
0.04, -1.00283e-17, -1.05554e-17, 0.950063
0.05, -1.56097e-17, 3.42934e-18, -4.5518
0.06, -1.36585e-17, -9.03743e-19, 15.1132
0.07, -1.33844e-17, -4.46459e-18, 2.99789
0.08, -2.10264e-17, -1.3907e-17, 1.51193
0.09, -1.62114e-17, -8.92432e-18, 1.81654
0.1, -6.93889e-18, -1.04083e-17, 0.666667
0.2, -1.63496e-17, -6.44741e-18, 2.53584
0.3, -1.52523e-17, -1.46896e-17, 1.0383
0.4, -9.40825e-18, -1.01843e-17, 0.923799
0.5, -1.57813e-17, -2.98947e-18, 5.27896
0.6, -1.6719e-18, -1.62333e-17, 0.102992
0.7, -4.29286e-18, -1.90232e-17, 0.225664
0.8, -9.76219e-18, -2.03612e-17, 0.479451
0.9, -3.314e-18, -1.31653e-17, 0.251722
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
