# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio
0.0001, 0.0464486, 0.283905, 0.163606
0.0002, 0.0527246, 0.254295, 0.207336
0.0003, 0.0572018, 0.238521, 0.239818
0.0004, 0.0607834, 0.227991, 0.266604
0.0005, 0.0638113, 0.220197, 0.289791
0.0006, 0.0664568, 0.214072, 0.310441
0.0007, 0.0688204, 0.209061, 0.329189
0.0008, 0.0709652, 0.204847, 0.34643
0.0009, 0.0729348, 0.201229, 0.362447
0.001, 0.0747604, 0.198071, 0.377443
0.002, 0.0883897, 0.179264, 0.49307
0.003, 0.0978009, 0.170026, 0.575211
0.004, 0.105195, 0.164408, 0.639845
0.005, 0.111368, 0.160672, 0.693138
0.006, 0.116706, 0.158079, 0.738276
0.007, 0.121435, 0.156246, 0.777206
0.008, 0.125693, 0.154952, 0.811175
0.009, 0.129576, 0.154058, 0.841087
0.01, 0.133151, 0.153469, 0.86761
0.02, 0.159076, 0.155717, 1.02157
0.03, 0.176049, 0.16332, 1.07794
0.04, 0.188713, 0.172216, 1.0958
0.05, 0.198736, 0.181272, 1.09635
0.06, 0.206934, 0.190044, 1.08887
0.07, 0.213779, 0.198336, 1.07786
0.08, 0.219564, 0.206058, 1.06554
0.09, 0.224494, 0.213177, 1.05309
0.1, 0.228714, 0.219686, 1.0411
0.2, 0.247291, 0.256165, 0.965357
0.3, 0.243139, 0.26029, 0.934109
0.4, 0.227549, 0.253919, 0.896148
0.5, 0.205039, 0.249712, 0.821103
0.6, 0.177906, 0.253343, 0.702234
0.7, 0.147193, 0.264893, 0.555667
0.8, 0.112609, 0.27861, 0.404182
0.9, 0.0705349, 0.278168, 0.253569
0.0001, 0.021822, 0.0851616, 0.256242
0.0002, 0.0227074, 0.0762688, 0.297728
0.0003, 0.0235016, 0.0715268, 0.32857
0.0004, 0.0242, 0.0683579, 0.354019
0.0005, 0.0248238, 0.0660099, 0.376062
0.0006, 0.0253893, 0.0641625, 0.395703
0.0007, 0.0259083, 0.0626492, 0.413545
0.0008, 0.026389, 0.0613753, 0.429962
0.0009, 0.026838, 0.06028, 0.445222
0.001, 0.0272598, 0.0593227, 0.459518
0.002, 0.0305465, 0.0535831, 0.570078
0.003, 0.0329199, 0.0507147, 0.649119
0.004, 0.0348269, 0.0489328, 0.711729
0.005, 0.0364418, 0.0477167, 0.763713
0.006, 0.0378529, 0.0468442, 0.80806
0.007, 0.0391126, 0.0462001, 0.846591
0.008, 0.040254, 0.0457187, 0.88047
0.009, 0.0413001, 0.045358, 0.910537
0.01, 0.0422676, 0.0450896, 0.937413
0.02, 0.0493792, 0.0448852, 1.10012
0.03, 0.0541055, 0.0463548, 1.16721
0.04, 0.0576579, 0.0482758, 1.19434
0.05, 0.0604813, 0.0503041, 1.20231
0.06, 0.0627966, 0.052303, 1.20063
0.07, 0.0647326, 0.0542093, 1.19412
0.08, 0.0663701, 0.0559935, 1.18532
0.09, 0.0677654, 0.0576418, 1.17563
0.1, 0.0689592, 0.0591493, 1.16585
0.2, 0.0741221, 0.0674049, 1.09965
0.3, 0.0726786, 0.0678309, 1.07147
0.4, 0.0678424, 0.0657376, 1.03202
0.5, 0.0609074, 0.0642437, 0.948069
0.6, 0.052538, 0.0647464, 0.811442
0.7, 0.0430542, 0.0672556, 0.640157
0.8, 0.0324281, 0.0703262, 0.46111
0.9, 0.0197964, 0.0698726, 0.283321
0.0001, 0.0112707, 1.31477e-07, 85724.1
0.0002, 0.00984924, 9.70047e-08, 101534
0.0003, 0.00906852, 8.05307e-08, 112610
0.0004, 0.00853487, 7.03011e-08, 121405
0.0005, 0.00813193, 6.31354e-08, 128801
0.0006, 0.00780962, 5.77491e-08, 135234
0.0007, 0.00754169, 5.35023e-08, 140960
0.0008, 0.00731308, 5.00442e-08, 146132
0.0009, 0.00711405, 4.71563e-08, 150861
0.001, 0.00693806, 4.46968e-08, 155225
0.002, 0.0058307, 3.12022e-08, 186869
0.003, 0.00522716, 2.52288e-08, 207190
0.004, 0.00482231, 2.17413e-08, 221804
0.005, 0.00452404, 1.94319e-08, 232815
0.006, 0.00429213, 1.7787e-08, 241307
0.007, 0.00410528, 1.65566e-08, 247955
0.008, 0.00395116, 1.56061e-08, 253180
0.009, 0.00382172, 1.48533e-08, 257298
0.01, 0.00371156, 1.42455e-08, 260542
0.02, 0.0031544, 1.16827e-08, 270006
0.03, 0.00300868, 1.12024e-08, 268574
0.04, 0.00301357, 1.12339e-08, 268257
0.05, 0.00309053, 1.14305e-08, 270375
0.06, 0.00320596, 1.16862e-08, 274338
0.07, 0.00334265, 1.19235e-08, 280341
0.08, 0.00349123, 1.2226e-08, 285558
0.09, 0.00364577, 1.23606e-08, 294951
0.1, 0.00380341, 1.28837e-08, 295211
0.2, 0.0053298, 1.50907e-08, 353184
0.3, 0.0069308, 1.68861e-08, 410445
0.4, 0.00913017, 2.10291e-08, 434169
0.5, 0.0123558, 2.9135e-08, 424087
0.6, 0.0167728, 4.39938e-08, 381255
0.7, 0.022104, 5.79496e-08, 381435
0.8, 0.0271009, 3.8224e-08, 709002
0.9, 0.0272813, -9.03764e-08, -301864
0.0001, -8.67362e-19, -4.01608e-31, 2.15972e+12
0.0002, -1.04255e-18, -2.05366e-17, 0.0507654
0.0003, -1.75587e-18, -1.27411e-17, 0.137812
0.0004, -1.23246e-18, -7.23561e-18, 0.170333
0.0005, -3.44178e-18, -1.73951e-17, 0.197859
0.0006, 7.38517e-19, -1.01457e-18, -0.727914
0.0007, -2.58268e-18, -9.80296e-18, 0.263459
0.0008, 7.13311e-20, -1.5709e-17, -0.0045408
0.0009, 1.07871e-19, -1.74524e-17, -0.00618086
0.001, -2.60209e-18, -3.34847e-31, 7.77096e+12
0.002, -2.50789e-18, -1.55548e-17, 0.16123
0.003, -5.98e-18, -5.1828e-18, 1.15382
0.004, -3.3513e-18, -6.61897e-18, 0.506316
0.005, -6.90994e-18, -5.23644e-18, 1.31959
0.006, -6.67217e-18, 1.61568e-18, -4.12965
0.007, -7.45174e-18, -1.00663e-17, 0.740268
0.008, -3.29711e-19, -8.78819e-18, 0.0375176
0.009, -5.71518e-18, -8.70199e-18, 0.656767
0.01, -8.67362e-18, -5.20417e-18, 1.66667
0.02, -4.97179e-18, -1.04634e-17, 0.475159
0.03, -1.37889e-17, -6.7515e-18, 2.04234
0.04, -1.22792e-17, 3.94974e-18, -3.10885
0.05, -1.22172e-17, -8.69124e-18, 1.40569
0.06, -9.87554e-19, 5.14407e-18, -0.191979
0.07, -5.75905e-18, -9.72588e-18, 0.592136
0.08, -1.55117e-17, -1.31462e-17, 1.17994
0.09, 8.08229e-19, -1.30125e-17, -0.0621118
0.1, -3.46945e-18, -5.20417e-18, 0.666667
0.2, -1.48755e-17, -1.72626e-17, 0.861722
0.3, -6.37957e-18, -1.54913e-17, 0.411816
0.4, -1.31945e-17, 1.35001e-18, -9.77362
0.5, -6.62773e-18, -1.61134e-17, 0.411318
0.6, 4.78911e-18, -2.10385e-17, -0.227636
0.7, -1.1308e-17, -8.90364e-18, 1.27004
0.8, -1.1479e-17, -1.60659e-17, 0.714493
0.9, -3.65224e-19, -7.46595e-18, 0.0489186
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
