# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.2, 0.0365634, 0.0368804, 0.0461327, 0.069659, 0.0478569
0.3, 0.0350754, 0.0352599, 0.0529277, 0.0672912, 0.0544943
0.4, 0.0350057, 0.0351314, 0.0552275, 0.0619957, 0.0567061
0.5, 0.0364595, 0.0365486, 0.0541978, 0.0548813, 0.055739
0.6, 0.0397756, 0.0398003, 0.0505477, 0.0465698, 0.0524
0.7, 0.0451816, 0.0451084, 0.0446847, 0.0374776, 0.0471902
0.8, 0.0525192, 0.0522873, 0.0367202, 0.0279268, 0.0403291
0.9, 0.0600862, 0.0596242, 0.0262541, 0.0181902, 0.0315244
0.0001, 0.0306963, 0.0, 0.0, 0.0112606, 0.00774091
0.0002, 0.024924, 0.0, 0.0, 0.00881475, 0.00676088
0.0003, 0.0219829, 0.0, 0.0, 0.00763683, 0.0062427
0.0004, 0.0200729, 0.0, 0.0, 0.00689688, 0.00589749
0.0005, 0.0186867, 0.0, 0.0, 0.00637237, 0.00564191
0.0006, 0.0176134, 0.0, 0.0, 0.00597353, 0.0054407
0.0007, 0.0167452, 0.0, 0.0, 0.00565563, 0.00527564
0.0008, 0.016022, 0.0, 0.0, 0.00539406, 0.00513642
0.0009, 0.0154055, 0.0, 0.0, 0.00517346, 0.00501643
0.001, 0.0148704, 0.0, 0.0, 0.00498382, 0.00491127
0.002, 0.0117207, 0.0, 0.0, 0.00390361, 0.00427006
0.003, 0.0101551, 0.0, 0.0, 0.00339354, 0.00393561
0.004, 0.0091592, 0.0, 0.0, 0.00308167, 0.00371746
0.005, 0.00845028, 0.0, 0.0, 0.00286781, 0.00356024
0.006, 0.00791163, 0.0, 0.0, 0.0027114, 0.00344036
0.007, 0.00748405, 0.0, 0.0, 0.00259214, 0.00334554
0.008, 0.00713457, 0.0, 0.0, 0.00249883, 0.00326877
0.009, 0.00684228, 0.0, 0.0, 0.00242444, 0.00320555
0.01, 0.00659356, 0.0, 0.0, 0.00236439, 0.00315285
0.02, 0.00527041, 0.0, 0.0, 0.00214312, 0.0029216
0.03, 0.00476922, 0.0, 0.0, 0.00218469, 0.00291453
0.04, 0.00455225, 0.0, 0.0, 0.00231264, 0.00299105
0.05, 0.00447156, 0.0, 0.0, 0.00247847, 0.00310833
0.06, 0.00446672, 0.0, 0.0, 0.00266236, 0.00324758
0.07, 0.00450745, 0.0, 0.0, 0.00285443, 0.00339882
0.08, 0.0045771, 0.0, 0.0, 0.00304932, 0.00355639
0.09, 0.00466527, 0.0, 0.0, 0.00324369, 0.00371656
0.1, 0.00476565, 0.0, 0.0, 0.00343581, 0.00387726
0.2, 0.00589053, 0.0, 0.0, 0.00509732, 0.00532617
0.3, 0.00687367, 0.0, 0.0, 0.00634877, 0.0064675
0.4, 0.00786895, 0.0, 0.0, 0.00751761, 0.00757625
0.5, 0.0092247, 0.0, 0.0, 0.00899786, 0.00902429
0.6, 0.0113332, 0.0, 0.0, 0.0111984, 0.0112087
0.7, 0.0145827, 0.0, 0.0, 0.0145138, 0.0145169
0.8, 0.0193582, 0.0, 0.0, 0.0193318, 0.0193324
0.9, 0.0259758, 0.0, 0.0, 0.0259707, 0.0259708
0.0001, -6.93889e-18, 0.0, 0.0, -5.87363e-32, -4.33681e-19
0.0002, 2.90003e-21, 0.0, 0.0, -2.87417e-18, -4.76619e-19
0.0003, -1.16093e-17, 0.0, 0.0, 2.94577e-18, -1.03223e-18
0.0004, -2.90756e-18, 0.0, 0.0, 2.49656e-19, -4.44404e-19
0.0005, -1.02622e-17, 0.0, 0.0, -6.90437e-18, -2.11764e-19
0.0006, -1.19254e-17, 0.0, 0.0, -4.95234e-18, -5.45168e-19
0.0007, -7.45399e-18, 0.0, 0.0, -2.66974e-18, -2.14554e-19
0.0008, -4.68773e-18, 0.0, 0.0, -4.08723e-18, -4.50571e-19
0.0009, -1.54315e-17, 0.0, 0.0, -7.19785e-18, -6.8908e-19
0.001, -1.56125e-17, 0.0, 0.0, -4.33681e-18, -6.50521e-19
0.002, 3.35965e-18, 0.0, 0.0, -2.11257e-18, -2.30047e-20
0.003, -1.86054e-18, 0.0, 0.0, -7.35035e-18, 1.73367e-19
0.004, 1.19234e-19, 0.0, 0.0, -6.55532e-18, -2.73571e-19
0.005, -8.61155e-18, 0.0, 0.0, -3.39571e-18, -1.73377e-18
0.006, -8.57581e-18, 0.0, 0.0, -3.35733e-18, -1.54805e-18
0.007, -1.69646e-18, 0.0, 0.0, -8.55941e-18, -4.38392e-19
0.008, -4.78907e-18, 0.0, 0.0, -6.64918e-18, -8.07098e-19
0.009, -1.88168e-18, 0.0, 0.0, -8.10474e-18, -4.57493e-19
0.01, -3.46945e-18, 0.0, 0.0, -1.04083e-17, -8.67362e-19
0.02, -5.22622e-18, 0.0, 0.0, -8.41931e-18, -2.898e-18
0.03, -4.74318e-18, 0.0, 0.0, -1.21294e-17, -1.9873e-18
0.04, -1.92422e-18, 0.0, 0.0, -1.62166e-17, -4.5926e-18
0.05, -1.73208e-18, 0.0, 0.0, 8.889e-20, -1.77528e-20
0.06, -6.43935e-18, 0.0, 0.0, 8.43639e-19, -5.60599e-18
0.07, -4.97517e-18, 0.0, 0.0, -1.04072e-17, -1.07213e-17
0.08, -7.27483e-18, 0.0, 0.0, -3.2965e-18, -4.80974e-18
0.09, -4.43599e-18, 0.0, 0.0, -4.6411e-18, -5.61956e-18
0.1, -1.38778e-17, 0.0, 0.0, -6.93889e-18, -3.46945e-18
0.2, -1.0437e-17, 0.0, 0.0, -5.36494e-18, -5.55324e-18
0.3, -1.21833e-17, 0.0, 0.0, -1.17828e-17, -9.12498e-18
0.4, -1.3605e-17, 0.0, 0.0, -1.02029e-17, -6.70644e-18
0.5, -4.55105e-18, 0.0, 0.0, -1.37321e-17, -4.88531e-18
0.6, -2.07621e-17, 0.0, 0.0, 4.51238e-19, -5.54341e-18
0.7, -9.69919e-18, 0.0, 0.0, -7.88672e-18, -6.75824e-18
0.8, -1.97264e-17, 0.0, 0.0, -6.81248e-18, -1.06961e-17
0.9, -3.20397e-20, 0.0, 0.0, -4.69501e-18, -9.23203e-18
0.0001, 1.5404246000000001, 1.5287700000000002, 0.005471862, 0.2968506, 0.06754882
0.0002, 1.295916, 1.2858, 0.008640804, 0.3153763, 0.06295512
0.0003, 1.1710178, 1.161754, 0.011290749999999999, 0.33139326, 0.06152088
0.0004, 1.0900618, 1.08141, 0.013651974, 0.34510136, 0.06117264
0.0005, 1.0315194, 1.023332, 0.015819600000000003, 0.35709534, 0.06134164
0.0006, 0.9863928, 0.978568, 0.017844600000000002, 0.36779206, 0.06179842
0.0007, 0.9500824, 0.9425760000000001, 0.01975826, 0.37747625999999995, 0.06242972000000001
0.0008, 0.919994, 0.912756, 0.02158158, 0.38634532, 0.06317436
0.0009, 0.894495, 0.887492, 0.02332938, 0.39454311999999997, 0.06399521999999999
0.001, 0.8724928, 0.86571, 0.02501284, 0.40217884, 0.06486810000000001
0.002, 0.7467294, 0.741308, 0.03956928, 0.45976102, 0.07453011999999999
0.003, 0.6882116, 0.683554, 0.051754, 0.49964668, 0.08419924
0.004, 0.653396, 0.6492676, 0.06261242, 0.5308739399999999, 0.09343085999999999
0.005, 0.6302553599999999, 0.6265174, 0.07257698, 0.55682242, 0.1022278
0.006, 0.61388926, 0.6104448, 0.0818795, 0.5791601999999999, 0.11064046
0.007, 0.6018371000000001, 0.5986351999999999, 0.09066257999999999, 0.5988618800000001, 0.11871848
0.008, 0.59275234, 0.5897368, 0.0990221, 0.61652486, 0.12650374
0.009, 0.5858041599999999, 0.5829645999999999, 0.10702574000000001, 0.6325706800000002, 0.13403110000000001
0.01, 0.58038772, 0.5776709999999999, 0.11472432, 0.6472903799999999, 0.1413281
0.02, 0.56534562, 0.5631158, 0.18072159999999998, 0.7523812400000001, 0.2053514
0.03, 0.5737694400000001, 0.5713816, 0.2348998, 0.81954218, 0.25902246
0.04, 0.5878538999999999, 0.5850578000000001, 0.2821182, 0.86873168, 0.3062355
0.05, 0.60353132, 0.6002114000000001, 0.32441480000000006, 0.9070335400000001, 0.34875086
0.06, 0.61943964, 0.6155366000000001, 0.36289940000000004, 0.9378851199999999, 0.38756076
0.07, 0.6350361, 0.6305394, 0.3982638, 0.9632550600000002, 0.42330384000000004
0.08, 0.6501298, 0.6450308, 0.4309802, 0.98436464, 0.45641738
0.09, 0.6645953400000001, 0.6589077999999999, 0.46138880000000004, 1.0020505800000001, 0.48722252000000005
0.1, 0.6784467000000001, 0.6721733999999999, 0.4897496, 1.01691062, 0.51597172
0.2, 0.7860918600000001, 0.7753287999999999, 0.6916553999999999, 1.0723066399999999, 0.7205141399999999
0.3, 0.85292814, 0.8398978, 0.7927454, 1.03838594, 0.8224216
0.4, 0.8934192999999999, 0.8787788, 0.825885, 0.95899262, 0.8564807
0.5, 0.9158164, 0.8984352, 0.8077676, 0.85185032, 0.8415345799999999
0.6, 0.9262696, 0.9031966, 0.7484834, 0.7270743999999999, 0.7898874000000001
0.7, 0.9310266, 0.8984628, 0.6539734, 0.5915708000000001, 0.7095762000000001
0.8, 0.9383068, 0.8924085999999999, 0.5263332, 0.450761, 0.6049477999999999
0.9, 0.9411259999999999, 0.8798264, 0.3613366, 0.3092152, 0.47399240000000004
