# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0005, 0.440636, 0.435341, 1.01216
0.0006, 0.415735, 0.410511, 1.01272
0.0007, 0.395837, 0.390755, 1.01301
0.0008, 0.379444, 0.374525, 1.01313
0.0009, 0.365613, 0.360876, 1.01313
0.001, 0.353725, 0.349178, 1.01302
0.002, 0.286387, 0.283603, 1.00982
0.003, 0.255166, 0.253723, 1.00569
0.004, 0.236428, 0.236022, 1.00172
0.005, 0.223785, 0.224204, 0.998133
0.006, 0.214662, 0.215749, 0.994963
0.007, 0.207779, 0.209427, 0.992131
0.008, 0.202437, 0.204555, 0.989645
0.009, 0.198198, 0.200732, 0.987376
0.01, 0.194777, 0.197648, 0.985475
0.02, 0.181285, 0.185887, 0.975244
0.03, 0.180896, 0.185847, 0.97336
0.04, 0.18418, 0.188971, 0.974648
0.05, 0.188854, 0.193265, 0.977176
0.06, 0.194089, 0.198022, 0.980137
0.07, 0.199517, 0.202948, 0.983093
0.08, 0.204963, 0.207904, 0.985854
