# mu value:
3.162278
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.9, 0.0765253, 0.0965447, 0.792641, 0.0119686
0.0001, 0.216466, 0.210757, 1.02709, 2.54664
0.0002, 0.178735, 0.154558, 1.15642, 1.17072
0.0003, 0.159348, 0.129521, 1.23029, 0.745278
0.0004, 0.146669, 0.114479, 1.28119, 0.542012
0.0005, 0.137411, 0.104139, 1.3195, 0.424156
0.0006, 0.130204, 0.0964559, 1.34988, 0.347726
0.0007, 0.124346, 0.0904409, 1.37489, 0.294263
0.0008, 0.119444, 0.0855646, 1.39596, 0.254955
0.0009, 0.115249, 0.0815026, 1.41406, 0.224887
0.001, 0.111596, 0.0780468, 1.42986, 0.201169
0.002, 0.0897886, 0.0589777, 1.52242, 0.0993492
0.003, 0.0787274, 0.0502966, 1.56526, 0.0677067
0.004, 0.0716075, 0.0450613, 1.58911, 0.0524042
0.005, 0.066503, 0.0414858, 1.60303, 0.0433759
0.006, 0.0626088, 0.0388658, 1.6109, 0.0373966
0.007, 0.0595127, 0.0368553, 1.61476, 0.0331166
0.008, 0.0569825, 0.0352661, 1.61578, 0.0298908
0.009, 0.0548707, 0.0339816, 1.61472, 0.0273598
0.01, 0.0530795, 0.032926, 1.61208, 0.0253114
0.02, 0.0438688, 0.0283293, 1.54853, 0.0155038
0.03, 0.0409118, 0.0277713, 1.47317, 0.0116958
0.04, 0.0401337, 0.0285036, 1.40802, 0.00952727
0.05, 0.0403831, 0.0297939, 1.35542, 0.00807676
0.06, 0.0411856, 0.0313517, 1.31366, 0.00701549
0.07, 0.0423046, 0.0330376, 1.2805, 0.00619229
0.08, 0.0436123, 0.0347792, 1.25397, 0.00552877
0.09, 0.0450248, 0.0365275, 1.23263, 0.00497797
0.1, 0.0465221, 0.0382892, 1.21502, 0.00451118
0.2, 0.0618394, 0.0542505, 1.13989, 0.00196818
0.3, 0.078219, 0.0696914, 1.12236, 0.000910315
0.4, 0.0995245, 0.0891178, 1.11677, 0.000397135
0.5, 0.128543, 0.115493, 1.11299, 0.000154032
0.6, 0.165321, 0.149233, 1.10781, 5.11838e-05
0.7, 0.206014, 0.18718, 1.10062, 1.48962e-05
0.8, 0.238294, 0.218543, 1.09038, 3.70623e-06
0.9, 0.225833, 0.210512, 1.07278, 1.6448e-07
0.0001, -1.73472e-17, -3.46945e-17, 0.5, 2.01557e-17
0.0002, 6.33459e-18, -1.43228e-17, -0.442274, 6.09029e-17
0.0003, -2.10742e-17, -3.4043e-18, 6.19046, 2.67915e-17
0.0004, -1.6879e-17, -2.26604e-17, 0.744865, 4.38046e-17
0.0005, -1.04083e-17, -1.04833e-17, 0.992853, 7.3007e-17
0.0006, -1.122e-17, -3.22455e-17, 0.347957, 3.009e-17
0.0007, -6.78585e-18, -1.16636e-17, 0.581799, 3.52156e-17
0.0008, -9.71218e-18, -8.96465e-18, 1.08339, 2.81729e-17
0.0009, -3.54701e-18, -1.41338e-17, 0.250959, 5.71897e-18
0.001, -3.46945e-18, -8.56763e-31, 4.04948e+12, 9.34177e-18
0.002, -1.38092e-17, -6.98277e-18, 1.97761, 1.25206e-17
0.003, -1.80561e-17, -1.07864e-17, 1.67397, 7.7431e-18
0.004, -2.67453e-18, -3.73946e-18, 0.715218, 5.65889e-18
0.005, -9.93639e-20, -1.40016e-17, 0.00709662, 8.09009e-18
0.006, -3.3402e-18, -1.30105e-18, 2.56731, 4.42345e-18
0.007, -6.95718e-18, -1.37658e-17, 0.505395, 1.18417e-17
0.008, -4.90473e-18, -1.17012e-17, 0.419166, 7.32449e-18
0.009, -4.06618e-18, -2.04994e-17, 0.198356, 3.13838e-18
0.01, -5.20417e-18, -1.38778e-17, 0.375, 9.0659e-18
0.02, 3.25794e-18, -1.22173e-17, -0.266666, 7.09386e-18
0.03, -2.07902e-18, -1.08096e-17, 0.192331, 2.27271e-18
0.04, -1.50204e-17, -5.59435e-18, 2.68492, 6.98334e-18
0.05, -1.37075e-17, -1.54822e-17, 0.885374, 5.07817e-18
0.06, -1.2852e-17, -1.22461e-17, 1.04948, 5.0164e-18
0.07, -1.23138e-17, -1.44466e-17, 0.852367, 9.36633e-18
0.08, -9.23248e-18, -2.93112e-18, 3.14981, 3.80022e-18
0.09, -9.43341e-18, -1.01741e-17, 0.9272, 7.34158e-18
0.1, -3.46945e-18, -2.08167e-17, 0.166667, 6.13317e-18
0.2, -3.25494e-18, -8.4153e-18, 0.386789, 9.83207e-18
0.3, -2.05743e-17, -1.3716e-17, 1.50002, 7.84054e-18
0.4, -1.59173e-17, -1.37465e-17, 1.15791, 9.1515e-18
0.5, -2.85205e-17, -2.0344e-17, 1.40191, 8.81743e-18
0.6, -2.67999e-17, -2.38953e-17, 1.12155, 5.37861e-17
0.7, -2.98545e-17, -2.67466e-17, 1.1162, 7.57532e-18
0.8, -2.05862e-18, -1.68065e-17, 0.122489, 2.0041e-17
0.9, -8.02901e-18, -2.57188e-17, 0.312185, 1.01736e-17
0.0001, 0, 0, -nan, 0
0.0002, 0, 0, -nan, 0
0.0003, 0, 0, -nan, 0
0.0004, 0, 0, -nan, 0
0.0005, 0, 0, -nan, 0
0.0006, 0, 0, -nan, 0
0.0007, 0, 0, -nan, 0
0.0008, 0, 0, -nan, 0
0.0009, 0, 0, -nan, 0
0.001, 0, 0, -nan, 0
0.002, 0, 0, -nan, 0
0.003, 0, 0, -nan, 0
0.004, 0, 0, -nan, 0
0.005, 0, 0, -nan, 0
0.006, 0, 0, -nan, 0
0.007, 0, 0, -nan, 0
0.008, 0, 0, -nan, 0
0.009, 0, 0, -nan, 0
0.01, 0, 0, -nan, 0
0.02, 0, 0, -nan, 0
0.03, 0, 0, -nan, 0
0.04, 0, 0, -nan, 0
0.05, 0, 0, -nan, 0
0.06, 0, 0, -nan, 0
0.07, 0, 0, -nan, 0
0.08, 0, 0, -nan, 0
0.09, 0, 0, -nan, 0
0.1, 0, 0, -nan, 0
0.2, 0, 0, -nan, 0
0.3, 0, 0, -nan, 0
0.4, 0, 0, -nan, 0
0.5, 0, 0, -nan, 0
0.6, 0, 0, -nan, 0
0.7, 0, 0, -nan, 0
0.8, 0, 0, -nan, 0
0.9, 0, 0, -nan, 0
