# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.001, -7.80626e-18, -1.21431e-17, 0.642857, 3.55011e-15
0.002, -8.48609e-18, -1.33983e-17, 0.633368, 1.48215e-15
0.003, -4.98945e-18, -1.48388e-17, 0.336244, 1.36252e-16
0.004, -5.43939e-18, -1.78813e-18, 3.04194, 1.69922e-16
0.005, -3.50674e-18, -1.6162e-18, 2.16974, 8.02492e-17
0.006, -5.83345e-18, -1.78298e-18, 3.27175, 8.27455e-17
0.007, -7.12738e-18, -1.03695e-17, 0.687338, 4.31648e-17
0.008, -2.82302e-18, -5.31011e-18, 0.531632, 1.77322e-17
0.009, -9.66438e-19, -4.90386e-18, 0.197077, 5.6677e-18
0.01, -5.20417e-18, -3.46945e-18, 1.5, 1.2449e-17
0.02, -4.02724e-18, -5.26468e-18, 0.764956, 4.21581e-18
0.03, -7.75352e-18, -8.72362e-18, 0.888797, 8.90089e-18
0.04, -1.31275e-17, -1.05554e-17, 1.24368, 1.79427e-18
0.05, -1.5498e-17, 3.42934e-18, -4.51923, 1.16876e-17
0.06, -1.27641e-17, -9.03743e-19, 14.1236, 7.31136e-18
0.07, -7.62306e-18, -4.46459e-18, 1.70745, 7.96515e-18
0.08, -5.62133e-19, -1.3907e-17, 0.0404209, 5.89637e-18
0.09, -6.4468e-18, -8.92432e-18, 0.722386, 8.56322e-18
0.1, -1.04083e-17, -1.04083e-17, 1, 1.17013e-17
0.2, -1.43018e-17, -6.44741e-18, 2.21823, 2.42618e-18
0.3, -4.92467e-18, -1.46896e-17, 0.335249, 6.88044e-18
0.4, -1.16775e-17, -1.01843e-17, 1.14661, 8.11282e-18
0.5, -8.10874e-18, -2.98947e-18, 2.71243, 1.04825e-17
0.6, -1.12934e-17, -1.62333e-17, 0.695693, 1.91521e-17
0.7, -8.46953e-18, -1.90232e-17, 0.445221, 8.23613e-18
0.8, -1.14894e-17, -2.03612e-17, 0.564279, 5.33621e-18
