# mu values:
4.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.008, -9.5246e-18, 0, -inf
0.009, -1.68475e-17, 0, -inf
0.01, -1.68636e-30, 0, -inf
0.02, -1.04688e-17, 0, -inf
0.03, -1.50573e-17, 0, -inf
0.04, -1.63192e-17, 0, -inf
0.05, -6.87572e-18, 0, -inf
0.06, -1.47363e-17, 0, -inf
0.07, -1.85614e-17, 0, -inf
0.08, -1.27559e-18, 0, -inf
0.09, -2.36186e-18, 0, -inf
0.1, -1.07416e-29, 0, -inf
0.2, -1.15706e-17, 0, -inf
0.3, -1.54882e-17, 0, -inf
0.4, -6.06898e-18, 0, -inf
0.5, -1.83265e-17, 0, -inf
0.6, 2.28056e-18, 0, inf
0.7, -1.19906e-17, 0, -inf
0.8, -2.26266e-17, 0, -inf
0.9, -2.45571e-17, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
