# mu value:
4.000000
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio, DeltaPDFs
0.0001, 12.9201, 10.8409, 1.19179, 13.6145
0.0002, 10.3116, 7.93595, 1.29935, 9.55277
0.0003, 9.02325, 6.64531, 1.35784, 7.72831
0.0004, 8.20141, 5.87152, 1.39681, 6.63297
0.0005, 7.61225, 5.34047, 1.42539, 5.88264
0.0006, 7.16018, 4.94638, 1.44756, 5.32765
0.0007, 6.7971, 4.63818, 1.46547, 4.89534
0.0008, 6.49633, 4.38852, 1.4803, 4.54667
0.0009, 6.24114, 4.18066, 1.49286, 4.2577
0.001, 6.02053, 4.00391, 1.50366, 4.01309
0.002, 4.73544, 3.02789, 1.56394, 2.69064
0.003, 4.10157, 2.5796, 1.59, 2.10858
0.004, 3.69712, 2.30465, 1.6042, 1.76418
0.005, 3.40688, 2.11255, 1.61268, 1.53102
0.006, 3.18386, 1.96782, 1.61796, 1.36029
0.007, 3.00444, 1.85315, 1.62126, 1.22846
0.008, 2.85554, 1.75915, 1.62325, 1.12298
0.009, 2.72895, 1.68004, 1.62433, 1.0362
0.01, 2.61929, 1.6121, 1.62477, 0.963234
0.02, 1.97388, 1.22226, 1.61495, 0.57876
0.03, 1.64843, 1.03107, 1.59875, 0.417074
0.04, 1.43662, 0.907935, 1.58229, 0.32477
