# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.08, -9.19224e-18, 0.0, 0.0, -1.73451e-17, -6.46542e-18
0.09, -2.73042e-18, 0.0, 0.0, -1.42297e-17, -4.70831e-18
0.1, -8.67362e-18, 0.0, 0.0, -6.93889e-18, -5.20417e-18
0.2, -4.97338e-18, 0.0, 0.0, -7.51754e-18, -6.94011e-18
0.3, -3.025e-18, 0.0, 0.0, -1.2025e-17, -2.33817e-18
0.4, -1.35797e-17, 0.0, 0.0, -5.80755e-18, -9.67409e-18
0.5, -6.26049e-18, 0.0, 0.0, -5.03102e-18, -1.39765e-17
0.6, 1.22345e-17, 0.0, 0.0, -1.41322e-17, -1.73592e-17
0.7, -1.55935e-17, 0.0, 0.0, -6.89516e-18, -1.18446e-17
0.8, -2.2489e-17, 0.0, 0.0, -4.60905e-18, -5.1268e-19
0.9, -1.89363e-17, 0.0, 0.0, -7.78578e-18, -8.08324e-18
0.0001, 2.5932606000000002, 2.4932, 0.010374864, 0.28564059999999997, 0.2129134
0.0002, 2.1980312, 2.112118, 0.01574116, 0.30713480000000004, 0.1799328
0.0003, 1.990636, 1.9124, 0.020091099999999997, 0.3237814, 0.16513660000000002
0.0004, 1.8534823999999999, 1.7804700000000002, 0.02389004, 0.33758199999999994, 0.1566352
0.0005, 1.7526192, 1.6835120000000001, 0.02732582, 0.34949522, 0.1512058
0.0006, 1.6737102, 1.607682, 0.03049748, 0.36005000000000004, 0.1475468
0.0007, 1.6093536, 1.545896, 0.033465220000000004, 0.36957478, 0.1450096
0.0008, 1.5553566, 1.494068, 0.03626884, 0.37828401999999994, 0.1432404
0.0009, 1.5090484, 1.44964, 0.038936500000000006, 0.38633054, 0.1420188
0.001, 1.4686544000000001, 1.410902, 0.04148888, 0.39382543999999997, 0.141202
0.002, 1.2266786, 1.179158, 0.06300674, 0.45059498000000003, 0.1429814
0.003, 1.1036846, 1.061618, 0.08045106, 0.49034398, 0.15065112
0.004, 1.0245206, 0.98611, 0.09567741999999999, 0.5217619600000001, 0.15965982
0.005, 0.967751, 0.932026, 0.1094356, 0.5480735, 0.16898498
0.006, 0.9243958, 0.89076, 0.12212210000000001, 0.5708766200000001, 0.17829409999999998
0.007, 0.8898582, 0.857936, 0.13397748, 0.5911013, 0.18746116000000002
0.008, 0.8615526, 0.8310500000000001, 0.14516099999999998, 0.6093289000000001, 0.19643856
0.009, 0.837856, 0.808586, 0.155786, 0.6259612000000001, 0.20521114
0.01, 0.8176117999999999, 0.78939, 0.16593539999999998, 0.6412861, 0.21377712000000001
0.02, 0.70945638, 0.687268, 0.250659, 0.7524170200000001, 0.28980972000000005
0.03, 0.6679187200000001, 0.6484628, 0.317875, 0.8250569999999999, 0.35332312
0.04, 0.64933776, 0.631419, 0.3751466, 0.8791039799999999, 0.40857393999999997
0.05, 0.64168148, 0.624722, 0.42557100000000003, 0.92173744, 0.45775468
0.06, 0.6400553999999999, 0.6237204, 0.4708036, 0.95647972, 0.50215552
0.07, 0.64201756, 0.626144, 0.511863, 0.98536784, 0.54262952
0.08, 0.64628474, 0.6307402000000001, 0.5494362, 1.0096731599999997, 0.57976034
0.09, 0.6520015399999999, 0.6367073999999999, 0.5840148000000001, 1.03027898, 0.61398172
0.1, 0.65869676, 0.6435928000000001, 0.615965, 1.04781246, 0.6456419600000001
0.2, 0.73712954, 0.7229692000000001, 0.8342073999999999, 1.12109554, 0.8617769799999999
0.3, 0.81023416, 0.7958418, 0.9324684000000001, 1.09660338, 0.9594328799999999
0.4, 0.88842062, 0.8718254000000001, 0.9524999999999999, 1.02355366, 0.9830118600000001
0.5, 0.9852426, 0.9643601999999999, 0.9139140000000001, 0.9217571999999999, 0.9544638000000001
0.6, 1.0931232, 1.0662924, 0.8278996000000001, 0.8012144, 0.8860892
0.7, 1.1672354, 1.1327268, 0.7009794, 0.6662262000000001, 0.7833741999999999
0.8, 1.1131980000000001, 1.068066, 0.5361454, 0.5146852, 0.6437611999999999
0.9, 0.7816031999999999, 0.7260166, 0.3318294, 0.327905, 0.4446996
